title,description,label,priority
"Fix broken React Router navigation","Page transitions fail when refreshing nested routes. Update router configuration.","Frontend","Medium"
"Improve API response compression","Enable gzip or Brotli compression on API Gateway to reduce payload size.","DevOps","Low"
"Create Kubernetes manifests","Write deployment, service, and ingress manifests for all microservices.","DevOps","High"
"Fix image scaling issue","Images appear blurred on retina screens. Update scaling logic for better quality.","Frontend","Low"
"Implement bulk task update API","Allow multiple tasks to be updated in a single request to reduce network calls.","Backend","Medium"
"Add SQS queue for async processing","Move heavy operations to asynchronous workers using SQS.","DevOps","High"
"Fix React Query infinite refetching","Infinite loop caused by missing dependency in fetch hook.","Frontend","Medium"
"Add user activity tracking","Track user login, logout, and API usage for analytics.","Backend","Medium"
"Improve CI build caching","Optimize pipeline by caching node_modules and Maven dependencies.","DevOps","Medium"
"Fix WebSocket reconnection issue","Client fails to reconnect after long inactive periods.","Backend","High"
"Add custom validation annotations","Create annotations for validating phone numbers and tax codes.","Backend","Low"
"Implement refresh token rotation","Add rotating refresh tokens and detection for stolen tokens.","Security","Critical"
"Fix incorrect pagination count","Total items returned do not match filtered results.","Backend","High"
"Add drag-and-drop task sorting","Enable reordering tasks using a drag handle in UI.","Frontend","Low"
"Rewrite notification worker","Existing worker is unstable under high load. Rewrite using Spring Batch.","Backend","High"
"Add API documentation using Swagger","Create OpenAPI specs for all endpoints.","General","Medium"
"Fix admin role override bug","Normal users can escalate permissions under rare conditions.","Security","Critical"
"Add Lambda DLQ support","Configure dead-letter queues for all critical Lambda functions.","DevOps","Medium"
"Improve mobile UI spacing","Padding is inconsistent on screens under 360px.","Frontend","Low"
"Implement data export to Excel","Allow exporting tasks with filters to XLSX files.","Backend","Medium"
"Fix slow cold boot in ECS tasks","Containers take too long to start. Investigate image size.","DevOps","High"
"Add task activity comments","Allow users to comment on each task.","Frontend","Low"
"Fix inconsistent date formatting","Dates sometimes appear in ISO format instead of dd/MM/yyyy.","Frontend","Low"
"Implement advanced search","Search by date range, status, labels, and priority using dynamic query builders.","Backend","High"
"Add autoscaling rules","Configure ECS autoscaling based on CPU and memory.","DevOps","Medium"
"Fix duplicate task creation","Concurrent requests can create duplicate tasks. Add idempotency.","Backend","High"
"Add Markdown support for descriptions","Render markdown in task descriptions using a markdown parser.","Frontend","Medium"
"Create workload identity for CI","Remove long-lived AWS credentials and use GitHub OIDC.","Security","Critical"
"Optimize task listing query","Improve performance with partial indexes and projections.","Database","High"
"Add push notifications","Send mobile push notifications using Firebase Cloud Messaging.","Backend","Medium"
"Fix slow bundle size","React bundle too large; apply tree-shaking and code splitting.","Frontend","High"
"Implement event sourcing","Track all task updates as immutable events.","Backend","Low"
"Add support for webhooks","Allow external systems to subscribe to task updates via HTTP callbacks.","Backend","Medium"
"Fix incorrect timezone handling","Scheduled tasks fire at wrong hours due to DST issues.","Backend","High"
"Add CDN invalidation automation","Automatically invalidate CloudFront caches after deployment.","DevOps","Medium"
"Create Helm charts for deployment","Package Kubernetes manifests into reusable charts.","DevOps","High"
"Fix login redirect loop","OAuth login sometimes loops back to login page.","Backend","High"
"Create system architecture diagram","Document architecture using C4 diagrams.","General","Low"
"Implement data masking","Mask sensitive fields such as phone numbers in logs.","Security","High"
"Fix session expiration logic","Sessions expire earlier than configured.","Backend","Medium"
"Create feature flag system","Allow toggling features for testing and rollout.","Backend","Low"
"Add onboarding checklist UI","Design a step-by-step onboarding UI for new users.","Frontend","Low"
"Fix Lambda concurrency bottleneck","Requests throttled due to low concurrency limit.","DevOps","High"
"Add test coverage report","Generate coverage reports in CI using Jacoco.","Testing","Low"
"Implement data retention policy","Automatically archive task data older than 1 year.","Database","Medium"
"Fix layout shift on page load","UI shifts due to missing preload fonts.","Frontend","Low"
"Create synthetic monitoring","Set up heartbeat checks using CloudWatch Synthetics Canary.","DevOps","Medium"
